"","Site","Longitute","Latitude","Depth","Date_Deploy","Date_Retrieve","Duration_Exposure","Grazer_ID","Grazer_re","Compartment","Species","Kelp_WW_Start","Kelp_WW_End","Consumption_Rate","resid","Test_Diameter","Test_Height","Whole_Weight","Test_Weight","Gonad_Weight","Gut_Weight","Lantern_Weight","Drained_Weight","Gonad_Index","Gut_Index"
"75","Forster",152.521732,-32.179135,4,2023-02-16,2023-02-19,3,"5","9","6","Heliocidaris erythrogramma",14.9,15.76,-0.232,-0.515657070569952,74,41,121.4,61.6,11.4,10.5,3.3,86.8,9.39044481054366,8.6490939044481
"76","Forster",152.521732,-32.179135,4,2023-02-16,2023-02-19,3,"5","9","10","Heliocidaris erythrogramma",8.95,8.93,0.0613333333333332,-0.183371901162461,55,28,53.4,29.9,3.7,3.2,1.8,38.6,6.92883895131086,5.99250936329588
"77","Forster",152.521732,-32.179135,4,2023-02-16,2023-02-19,3,"5","9","12","Heliocidaris erythrogramma",8.49,8.33,0.108,-0.175185925663931,72,42,120.2,65.4,14.9,6.5,4.8,91.6,12.396006655574,5.40765391014975
"78","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"1","10","2","Centrostephanus rodgersii",22.69,22.94,-0.1718,-0.802093008267695,84,41,247.3,164.8,14.7,11.1,12.8,203.4,5.94419733117671,4.48847553578649
"79","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"1","10","4","Centrostephanus rodgersii",24.33,20.06,0.7322,-0.184032412375343,92,44,350.1,214.5,11.2,15.1,20.2,261,3.19908597543559,4.31305341331048
"80","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"1","10","7","Heliocidaris erythrogramma",19.82,17.79,0.2842,0.0350875500513376,54,25,58.6,39.2,4.8,6.1,2.3,52.4,8.19112627986348,10.4095563139932
"81","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"1","10","8","Heliocidaris erythrogramma",18.21,17.46,0.0282,-0.209943143435871,52,25,46.5,27.5,3.2,4,3.1,37.8,6.88172043010753,8.60215053763441
"82","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"1","10","9","Centrostephanus rodgersii",23.31,20.14,0.5122,0.0282287157819183,72,34,207,139.2,12.7,10.3,7,169.2,6.13526570048309,4.97584541062802
"83","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"1","10","10","Heliocidaris erythrogramma",25.74,21.89,0.6482,0.404210676413087,52,22,52.6,31.9,3.9,7.7,2.7,46.2,7.41444866920152,14.638783269962
"84","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"1","10","11","Heliocidaris erythrogramma",19.93,13.08,1.2482,1.00558285111145,54,27,51.1,29.3,1.6,9.7,2.5,43.1,3.13111545988258,18.9823874755382
"85","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"1","10","12","Heliocidaris erythrogramma",22.99,20.86,0.3042,0.0892752463250811,45,21,28.5,18.8,2.3,4.5,2.1,27.7,8.07017543859649,15.7894736842105
"86","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"2","11","2","Heliocidaris erythrogramma",21.88,18.06,0.6422,0.390719594200144,55,28,61.6,31.9,2.6,8.4,3.6,46.5,4.22077922077922,13.6363636363636
"87","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"2","11","3","Heliocidaris erythrogramma",20.3,19.82,-0.0257999999999999,-0.258203664914721,50,19,41.2,24.4,2.9,3.5,2.7,33.5,7.03883495145631,8.49514563106796
"88","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"2","11","4","Heliocidaris erythrogramma",20.86,19.85,0.0801999999999996,-0.133885294642195,44,21,28,20.7,2.5,4.1,2.4,29.7,8.92857142857143,14.6428571428571
"89","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"2","11","5","Centrostephanus rodgersii",28.16,25.31,0.4482,-0.366641696462547,84,50,309.5,194.6,11.1,16.8,18.9,241.4,3.58642972536349,5.4281098546042
"90","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"2","11","7","Centrostephanus rodgersii",18.31,18.17,-0.0938000000000006,-0.441043519124002,67,31,175.3,116,8.7,8.2,11.7,144.6,4.96292070735881,4.67769537934969
"91","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"2","11","9","Centrostephanus rodgersii",23.8,14.8,1.6782,1.12527591020176,76,40,225.1,164.1,15.4,17.2,14.8,211.5,6.84140382052421,7.64104842292315
"92","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"2","11","11","Centrostephanus rodgersii",21.79,21.62,-0.0878000000000004,-0.606017599265671,79,39,215.8,141.3,16.8,8.8,15.7,182.6,7.78498609823911,4.07784986098239
"93","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"2","11","12","Centrostephanus rodgersii",21.06,14.95,1.1002,0.503860267090681,84,44,237.3,184.4,5.4,9.2,21.4,220.4,2.275600505689,3.87694900969237
"94","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"3","12","1","Centrostephanus rodgersii",13.45,0,2.5682,2.03749890271296,82,42,219.1,135.2,10.1,14.2,19.6,179.1,4.60976722957554,6.48105887722501
"95","Shellharbour",150.885944,-34.593712,3,2023-02-21,2023-02-26,5,"3","12","3","Heliocidaris erythrogramma",11.15,7.57,0.5942,0.342107608971255,54,26,62.4,33.2,2.3,9,3.5,48,3.68589743589744,14.4230769230769
